State_Year,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Georgia2007,2007,Georgia,235.2090171,Mathematics,4,1628409,17755989,1475463,7907177,8373349,17389530,9507096,4672304,757339,2271958
Arkansas2015,2015,Arkansas,235.2154697,Mathematics,4,479682,5308625,581412,4075118,652095,5350543,2620399,1772639,290396,511556
Minnesota2000,2000,Minnesota,235.2708876,Mathematics,4,839839,7344747,330914,4265438,2748395,7736391,3825732,1942294,531329,901829
Alaska2005,2005,Alaska,235.5107055,Mathematics,4,132568,1599739,302846,878731,418162,1751718,829666,559084,55782,268700
Arkansas2005,2005,Arkansas,235.545467,Mathematics,4,461667,3978240,447012,2995788,535440,3999608,2118580,1173643,200865,393713
South Carolina2009,2009,South Carolina,235.6683025,Mathematics,4,714290,7669733,734602,3654658,3280473,8427391,3854229,2463391,398422,1318784
Hawaii2009,2009,Hawaii,235.6797808,Mathematics,4,179478,2689758,392837,2205032,91889,2318671,1402305,718309,129473,68584
Michigan2003,2003,Michigan,235.6869747,Mathematics,4,1764327,18488359,1357006,11227903,5903450,19680370,8725075,6144707,844762,2453532
Michigan2015,2015,Michigan,235.7288937,Mathematics,4,1345009,19025996,1582706,10510346,6932944,17742903,9040821,5839572,831874,967476
Montana2003,2003,Montana,235.7549153,Mathematics,4,149801,1205602,171819,553269,480514,1214879,687104,384824,48570,75983
South Carolina2003,2003,South Carolina,235.7932235,Mathematics,4,691736,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241,865462
Delaware2003,2003,Delaware,235.8594245,Mathematics,4,111282,1242436,91986,794472,355978,1317447,673997,367660,53399,171247
Rhode Island2007,2007,Rhode Island,235.8779358,Mathematics,4,147861,2100679,165167,817792,1117720,2082332,1177636,731694,85397,20234
New York2003,2003,New York,235.9300755,Mathematics,4,2879228,38033080,2591430,17509618,17932032,41603390,24786376,10000845,1156927,4489672
Pennsylvania2003,2003,Pennsylvania,235.9470171,Mathematics,4,1757066,19811545,1419644,6912678,11479223,20626459,10151195,5765734,810211,1848552
Georgia2009,2009,Georgia,236.0295729,Mathematics,4,1649598,17972839,1644548,7739086,8589205,19025136,10063924,5135180,837062,2712073
Oregon2007,2007,Oregon,236.0396573,Mathematics,4,559643,5648586,526411,2908595,2213580,5634955,2999104,1908603,199410,293730
Alaska2013,2013,Alaska,236.1220044,Mathematics,4,131091,2545117,320938,1707449,516730,2665933,1324649,982442,87165,248505
Nebraska2003,2003,Nebraska,236.2541084,Mathematics,4,283934,2600831,225861,878715,1496255,2623966,1414919,683210,112145,329746
Nevada2013,2013,Nevada,236.2628994,Mathematics,4,431776,4131800,392009,2556472,1183319,4057443,2058538,1396907,166814,222161
Michigan2009,2009,Michigan,236.2797197,Mathematics,4,1537515,19616665,2094714,10130740,7391211,19992550,9422685,6354021,865858,1280455
Oregon2003,2003,Oregon,236.3059056,Mathematics,4,552135,4592019,407432,2348070,1836517,4978764,2458415,1546156,175667,606048
Alaska2015,2015,Alaska,236.328417,Mathematics,4,130755,2920986,344111,2026555,550320,2968341,1484610,1068849,92766,281914
West Virginia2007,2007,West Virginia,236.3378058,Mathematics,4,281298,2905489,353571,1677212,874706,2983267,1608247,941055,189649,228873
Alaska2011,2011,Alaska,236.359658,Mathematics,4,131704,2357828,420152,1416163,521513,2443898,1215062,908567,81031,180137
Michigan2011,2011,Michigan,236.4022137,Mathematics,4,1455966,19374026,2525528,9845508,7002990,18469948,9198775,6024406,862583,1273466
Georgia2015,2015,Georgia,236.4525193,Mathematics,4,1717805,18584666,1831221,8310872,8442573,18501103,10081483,5324072,996277,1879063
South Carolina2013,2013,South Carolina,236.6258997,Mathematics,4,722249,8254462,814137,3819285,3621040,8224795,3933177,2621911,426662,853410
Wisconsin2003,2003,Wisconsin,236.755414,Mathematics,4,875390,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325,733156
Oklahoma2009,2009,Oklahoma,236.7809856,Mathematics,4,644549,6029807,768972,3014993,2245842,5941799,2836912,1895590,577867,568720
New York2015,2015,New York,236.796927,Mathematics,4,2631532,63712218,2869847,25900858,34941513,65094591,41954260,15714795,1540851,4536014
Oklahoma2007,2007,Oklahoma,236.8021942,Mathematics,4,639032,5491931,650579,2782356,2058996,5505213,2688963,1732136,526547,502002
Michigan2013,2013,Michigan,236.8197784,Mathematics,4,1381167,18270327,1636324,9882361,6751642,17468264,8885537,5675448,848456,962506
Oregon2011,2011,Oregon,236.914497,Mathematics,4,559631,6112484,848637,2792762,2471085,6317635,3261190,2071303,224903,461979
Nevada2011,2011,Nevada,237.0318789,Mathematics,4,429610,4146577,447002,2359671,1339904,4258855,2161550,1377125,149940,323746
South Carolina2015,2015,South Carolina,237.0895715,Mathematics,4,737401,8759944,836137,4094766,3829041,8783362,4123140,2893109,447019,928112
South Carolina2007,2007,South Carolina,237.1074115,Mathematics,4,701580,7130274,680718,3120416,3329140,7660995,3481608,2157719,384965,1290372
Alaska2009,2009,Alaska,237.2122843,Mathematics,4,130236,2158970,312667,1357747,488556,2396412,1129756,832783,70835,303165
South Dakota2003,2003,South Dakota,237.2648206,Mathematics,4,127632,965778,148498,328576,488704,993823,499480,295468,42694,122247
Alaska2007,2007,Alaska,237.2738932,Mathematics,4,132197,1800616,282270,1052357,465989,1938755,927307,645857,60699,257723
Illinois2007,2007,Illinois,237.2870413,Mathematics,4,2101075,23897153,1862627,7566377,14468149,23401917,11692204,7509591,834000,2082140
South Carolina2011,2011,South Carolina,237.303025,Mathematics,4,713511,7772777,1041572,3338715,3392490,7961448,3689782,2428477,388361,1016126
Texas2003,2003,Texas,237.3059218,Mathematics,4,4201914,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131,4764154
Illinois2015,2015,Illinois,237.3078138,Mathematics,4,2047123,32096832,2262192,11858968,17975672,32410033,17313173,10279691,992075,2056951
Oklahoma2011,2011,Oklahoma,237.4290823,Mathematics,4,658163,5835133,968529,2741058,2125546,5644988,2866601,1814927,367172,510428
West Virginia2013,2013,West Virginia,237.4406327,Mathematics,4,282310,3486366,383169,2027414,1075783,3488877,1828234,1130079,225073,284685
New York2011,2011,New York,237.5199426,Mathematics,4,2677412,57753776,5118477,23188002,29447297,59446908,37834196,14460678,1416793,4653802
Arkansas2009,2009,Arkansas,237.5405919,Mathematics,4,474423,4753142,534510,3530487,688145,5017352,2417974,1492691,533057,409763
North Dakota2003,2003,North Dakota,237.5773868,Mathematics,4,103785,882913,126023,306647,450243,895278,448720,239435,60008,81014
Michigan2007,2007,Michigan,237.6055535,Mathematics,4,1686473,20576110,1541818,11383198,7651094,19839838,9608836,6721838,871870,1629007
Arizona2015,2015,Arizona,237.6117554,Mathematics,4,944978,8230507,1093834,3232013,3904660,7902600,3846357,2880184,478876,497662
Maine2003,2003,Maine,237.6157104,Mathematics,4,203848,2162605,163516,874208,1124881,2154117,1255095,569146,79491,137716
Arkansas2007,2007,Arkansas,237.6706874,Mathematics,4,474532,4415981,483689,3319030,613262,4779308,2337748,1378576,450454,470562
Michigan2005,2005,Michigan,237.706003,Mathematics,4,1721351,19106382,1513264,10990030,6603088,20489512,9269314,6479470,841610,1937442
Nebraska2005,2005,Nebraska,237.7061785,Mathematics,4,284553,2895640,295968,878576,1721096,2708776,1487488,751435,127968,264339
Oregon2015,2015,Oregon,237.7467089,Mathematics,4,570376,7111710,577106,3678001,2856603,7011609,3650855,2272382,249968,477516
Ohio2003,2003,Ohio,237.7820679,Mathematics,4,1803966,18018740,1097349,7844992,9076399,18760200,8958790,6097596,800930,2324140
Arkansas2011,2011,Arkansas,237.810157,Mathematics,4,475551,5176362,827026,3701224,648112,5669431,2559292,1655684,676591,605857
Hawaii2015,2015,Hawaii,237.8958068,Mathematics,4,182384,2703683,259390,2381547,62746,2521004,1377713,835930,145560,161801
Indiana2003,2003,Indiana,237.9682799,Mathematics,4,999713,8246076,582940,4569923,3093213,9777720,4785880,2848989,377679,859389
Rhode Island2015,2015,Rhode Island,238.0017297,Mathematics,4,134574,2367068,184718,908963,1273387,2326473,1322055,792525,90209,50889
Oregon2009,2009,Oregon,238.0323272,Mathematics,4,560726,6158756,656298,3117315,2385143,6715011,3291310,2121378,214699,803096
Nebraska2007,2007,Nebraska,238.0408086,Mathematics,4,287135,3234014,298196,992032,1943786,3117931,1673992,845739,131267,378827
New York2005,2005,New York,238.1739767,Mathematics,4,2816426,43936450,3156023,19202847,21577580,45086872,27866708,11303872,1182179,3342778
Illinois2009,2009,Illinois,238.2856688,Mathematics,4,2117291,26987426,3346509,7879160,15761757,27716187,13520105,8764971,932950,2884993
Washington2003,2003,Washington,238.2928395,Mathematics,4,1014577,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084,1189781
South Carolina2005,2005,South Carolina,238.3026753,Mathematics,4,701176,6337711,639308,2832245,2866158,6572191,3134658,1903030,342107,938347
Oregon2005,2005,Oregon,238.3249306,Mathematics,4,550502,5022050,498217,2440758,2083075,5597579,2671228,1680005,181133,364717
Georgia2011,2011,Georgia,238.3665421,Mathematics,4,1666039,18030043,2267161,7492489,8270393,17187481,9671343,5005101,874605,1368395
Maryland2005,2005,Maryland,238.4217067,Mathematics,4,865561,9906219,670998,3729262,5505959,9782665,5154440,2934277,407619,947970
Iowa2003,2003,Iowa,238.4766945,Mathematics,4,482210,4374803,304688,1974708,2095407,4517990,2157225,1208401,284796,459042
Delaware2015,2015,Delaware,238.6780188,Mathematics,4,121845,2017075,137544,1142333,737198,1975093,1072395,583951,122741,103129
Nebraska2009,2009,Nebraska,238.7484634,Mathematics,4,292161,3522481,297732,1182776,2041973,3523803,1887427,905681,144995,488293
Rhode Island2009,2009,Rhode Island,238.7668591,Mathematics,4,141521,2179714,206225,765069,1208420,2171376,1224158,773039,90493,24161
New Jersey2003,2003,New Jersey,238.7765412,Mathematics,4,1350330,19785039,797717,8135014,10852308,19812932,10169992,6429003,677268,1626453
Utah2005,2005,Utah,238.7974238,Mathematics,4,488055,3181279,326400,1729443,1125436,3188018,1632553,771298,241992,467720
Idaho2015,2015,Idaho,238.7996247,Mathematics,4,274131,2167967,232449,1381205,554313,2029520,1130814,663005,108684,75680
Hawaii2011,2011,Hawaii,238.8219278,Mathematics,4,179601,2499513,347363,2088870,63280,2259104,1253534,786284,133810,85476
Kentucky2009,2009,Kentucky,238.8359023,Mathematics,4,669858,6706922,719997,3870440,2116485,6831006,3468191,2050683,411529,720114
Illinois2011,2011,Illinois,238.8368789,Mathematics,4,2072114,29507584,2894897,10030682,16582005,28525858,14636402,9271610,922651,1884866
Oklahoma2013,2013,Oklahoma,238.9218775,Mathematics,4,671445,5878111,715944,2890048,2272119,5796945,2800189,1972011,404107,557341
Florida2005,2005,Florida,238.9306496,Mathematics,4,2645280,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005,3803764
Missouri2015,2015,Missouri,238.9649225,Mathematics,4,892779,10623391,948600,4441091,5233700,10540353,5387766,3266781,615166,869078
Illinois2013,2013,Illinois,239.000204,Mathematics,4,2069823,30057886,2311235,10382540,17364111,29517831,15285224,9509657,986182,1942608
Virginia2003,2003,Virginia,239.2030891,Mathematics,4,1175458,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933,1069375
Colorado2005,2005,Colorado,239.2158745,Mathematics,4,765388,6910296,472246,2954915,3483135,7284280,3380399,2343655,260280,918985
Utah2007,2007,Utah,239.4049889,Mathematics,4,504079,3656090,343915,1977900,1334275,3618540,1816456,871613,266481,579188
Missouri2007,2007,Missouri,239.4111029,Mathematics,4,910142,8908844,730811,3641310,4536723,9245525,4743390,2738098,485391,925265
Delaware2009,2009,Delaware,239.4905694,Mathematics,4,116804,1718993,109682,1047418,561893,1798244,877678,496383,80812,254460
Maryland2015,2015,Maryland,239.4997509,Mathematics,4,874108,14491642,819162,6267624,7404856,13882823,7686024,4358416,386104,1050651
Missouri2013,2013,Missouri,239.5483619,Mathematics,4,897224,10103589,894168,4235564,4973857,10001763,5139610,3082015,566933,833040
Delaware2005,2005,Delaware,239.7169124,Mathematics,4,112562,1431710,106513,894498,430699,1480157,761786,424220,62086,172879
South Dakota2015,2015,South Dakota,239.7230949,Mathematics,4,132836,1415149,206853,425614,782682,1464781,709363,426257,70128,222592
Oklahoma2015,2015,Oklahoma,239.7604814,Mathematics,4,671715,6121188,688990,2993050,2439148,6184819,3000894,2041507,414086,663768
Tennessee2013,2013,Tennessee,239.774787,Mathematics,4,992461,9008032,1165801,4097627,3744604,9248235,5191269,2780452,534815,564756
Nebraska2011,2011,Nebraska,239.8032687,Mathematics,4,297659,3879388,571969,1153077,2154342,3676326,2101943,951912,171112,349683
Florida2011,2011,Florida,239.826451,Mathematics,4,2636404,26453693,4710376,9069119,12674198,26991946,14284224,8077593,1637138,2217069
Iowa2005,2005,Iowa,239.8808018,Mathematics,4,478319,4638125,363930,2051926,2222269,4599549,2323233,1301312,214893,538313
Arkansas2013,2013,Arkansas,239.8905221,Mathematics,4,477716,5067546,572096,3847045,648405,5226339,2545564,1694335,281692,533975
Georgia2013,2013,Georgia,240.0472366,Mathematics,4,1682620,17459504,1805878,7580785,8072841,17317504,9555687,4956142,932291,1632844
Indiana2005,2005,Indiana,240.0690988,Mathematics,4,1014528,11653165,708922,5224277,5719966,11071431,5343758,3228234,413599,982893
Oregon2013,2013,Oregon,240.099252,Mathematics,4,564006,6077498,471682,3041825,2563991,6228197,3261733,2067538,228499,343353
Connecticut2015,2015,Connecticut,240.1594689,Mathematics,4,505366,11099837,444073,4353546,6302218,10542667,6006275,3233901,362941,530491
Colorado2007,2007,Colorado,240.2058902,Mathematics,4,790211,7689014,529854,3307016,3852144,8039146,3782300,2483095,286754,1083411
Arizona2013,2013,Arizona,240.3049115,Mathematics,4,941726,8164324,1178356,2934165,4051803,7600581,3824071,2643742,368750,558466
Utah2009,2009,Utah,240.3187126,Mathematics,4,532433,4238943,535223,2224007,1479713,4419750,2169434,1008636,310325,821593
Maryland2007,2007,Maryland,240.3282307,Mathematics,4,851640,11674965,661677,4684827,6328461,11541225,6031042,3503877,474728,1170502
Idaho2011,2011,Idaho,240.3288325,Mathematics,4,265713,2089982,292602,1320153,477227,1960818,1104553,613667,98963,83524
New York2013,2013,New York,240.3498169,Mathematics,4,2629805,59623918,3335657,23632698,32655563,60505950,38756656,14846782,1462376,3982327
Delaware2011,2011,Delaware,240.3598324,Mathematics,4,119878,1759170,192182,1010026,556962,1808905,964284,497158,89576,182497
Texas2009,2009,Texas,240.4646237,Mathematics,4,4647205,48087531,4913841,19708771,23464919,53575273,23895853,13799383,2289408,9297597
Missouri2011,2011,Missouri,240.494831,Mathematics,4,896702,9915356,1344755,3828396,4742205,9842505,5100879,2975252,531640,849819
Virginia2005,2005,Virginia,240.4975682,Mathematics,4,1203697,12182657,826830,4871813,6484014,12385157,6565022,3699703,510204,1180309
Wisconsin2005,2005,Wisconsin,240.5685819,Mathematics,4,869301,9584108,565072,4770290,4248746,9433502,5128207,2944041,382137,472358
Pennsylvania2005,2005,Pennsylvania,240.5729633,Mathematics,4,1755560,22657782,1750988,7667114,13239680,23183924,11284717,6638401,920319,1914407
Montana2005,2005,Montana,240.5754886,Mathematics,4,146552,1293070,191687,578321,523062,1268328,721019,412180,53055,59998
Connecticut2003,2003,Connecticut,240.6152416,Mathematics,4,548466,6959891,351001,2481901,4126989,6751815,3721466,1951609,252325,539870
New York2009,2009,New York,240.6410988,Mathematics,4,2696688,55885116,3197833,25768345,26918938,57851481,35195372,14079990,1415237,5463718
Tennessee2015,2015,Tennessee,240.6673957,Mathematics,4,994530,9455920,1122775,4385403,3947742,9562527,5343272,2862499,560697,553396
Missouri2009,2009,Missouri,240.6843809,Mathematics,4,893807,9472520,758650,3927189,4786681,10227305,5175127,3023041,535977,1120105
Maine2005,2005,Maine,240.6914597,Mathematics,4,198745,2324789,197651,895595,1231543,2325138,1355800,620991,96318,128520
Idaho2013,2013,Idaho,240.7220198,Mathematics,4,272070,2015534,237912,1278155,499467,1967676,1113400,631575,107264,62882
Kentucky2011,2011,Kentucky,240.8307002,Mathematics,4,672958,7104589,1164688,3704150,2235751,7253850,3663998,2238626,426989,733357
Idaho2007,2007,Idaho,240.9028435,Mathematics,4,262935,2011951,202977,1338182,470792,1960472,1069134,590192,86738,163583
South Dakota2011,2011,South Dakota,240.9797923,Mathematics,4,125613,1297661,262395,374648,660618,1350617,661519,390655,59757,199636
South Dakota2013,2013,South Dakota,240.9810997,Mathematics,4,130296,1316613,194731,408009,713873,1332496,663258,390637,64999,179586
Idaho2009,2009,Idaho,241.0428023,Mathematics,4,267951,2182273,218777,1459554,503942,2078446,1157633,646213,100576,111190
Kansas2015,2015,Kansas,241.0672085,Mathematics,4,496920,5991731,475273,3967809,1548649,6175724,3051755,1692953,250584,963767
Wyoming2003,2003,Wyoming,241.0857006,Mathematics,4,85966,962240,84308,489199,388733,915515,473447,292271,27608,110312
Texas2011,2011,Texas,241.1017937,Mathematics,4,4800196,51023159,7818075,19623258,23581826,52691826,25155007,14325757,2474232,6556210
South Dakota2007,2007,South Dakota,241.2134286,Mathematics,4,121158,1136570,174096,371645,590829,1096568,573916,335382,50283,105370
North Carolina2005,2005,North Carolina,241.2355493,Mathematics,4,1347177,11098165,1116670,6440768,3540727,10917913,6160224,3039968,580213,791873
Montana2015,2015,Montana,241.2870483,Mathematics,4,144447,1804339,214980,851068,738291,1804841,940488,581694,80426,160885
Rhode Island2013,2013,Rhode Island,241.4167352,Mathematics,4,136401,2282659,193393,841875,1247391,2231413,1265936,765178,96721,35089
Kentucky2013,2013,Kentucky,241.4699268,Mathematics,4,685009,7216175,867735,3960822,2387618,7413896,3663594,2323851,457079,729064
Colorado2015,2015,Colorado,241.5635756,Mathematics,4,872320,9648297,715254,4354525,4578518,9557682,4578938,3170482,397263,923360
South Dakota2005,2005,South Dakota,241.5941861,Mathematics,4,124862,1053504,176738,350316,526450,1059303,539413,316892,46872,124727
North Carolina2007,2007,North Carolina,241.617994,Mathematics,4,1416028,13063307,1184934,7481148,4397225,12794086,6987589,3582953,642597,1166854
Rhode Island2011,2011,Rhode Island,241.6247747,Mathematics,4,139157,2212352,234111,768713,1209528,2198940,1260021,736651,93820,43726
Idaho2005,2005,Idaho,241.6501157,Mathematics,4,253782,1796035,192039,1023550,580446,1819519,989703,531569,77321,181622
Massachusetts2003,2003,Massachusetts,241.6645274,Mathematics,4,967200,11591832,712487,4757632,6121713,11382398,6521028,3444135,356389,424368
Florida2013,2013,Florida,241.6758096,Mathematics,4,2680074,24681548,3027018,9455562,12198968,25245400,13833236,7622221,1689414,1411455
Washington2005,2005,Washington,241.6846745,Mathematics,4,1019925,9141383,796450,5588494,2756439,9399603,4629347,2692637,428619,1292543
Kentucky2015,2015,Kentucky,241.7277619,Mathematics,4,688475,7548871,848963,4176753,2523155,7554887,3807748,2417226,468694,600859
Kansas2003,2003,Kansas,241.7473658,Mathematics,4,470264,4068800,311152,2397661,1359987,3818740,2068389,1196089,167265,235653
Delaware2007,2007,Delaware,241.7948949,Mathematics,4,114678,1694929,102114,1071957,520858,1705204,825084,481610,68343,245757
Minnesota2003,2003,Minnesota,241.9122956,Mathematics,4,825674,8484497,463746,6064474,1956277,8938770,4318736,2130933,613899,1204124
Vermont2003,2003,Vermont,241.9260724,Mathematics,4,94901,1451171,79956,779124,592091,1440961,662999,345187,32289,46411
Texas2013,2013,Texas,241.9262887,Mathematics,4,4897523,49734537,5695947,18873046,25165544,50674724,24226519,14150552,2585417,5472152
Florida2009,2009,Florida,241.9449094,Mathematics,4,2623067,26494500,2694566,9047586,14752348,28867429,13884278,8067350,1546420,4533913
Texas2005,2005,Texas,241.9909163,Mathematics,4,4334611,37783715,4095588,13017433,20670694,40302144,18950703,10963041,1883727,5592231
Wyoming2009,2009,Wyoming,242.0091957,Mathematics,4,86971,1675761,108333,945765,621663,1658156,744877,482641,47165,372507
Florida2007,2007,Florida,242.02025,Mathematics,4,2656176,28898362,2489027,11578932,14830403,29849892,13476109,8136539,1515095,5992654
North Carolina2003,2003,North Carolina,242.0401256,Mathematics,4,1314632,9907235,888996,5970302,3047937,9989670,5517870,2721749,528694,940500
South Dakota2009,2009,South Dakota,242.0977898,Mathematics,4,126624,1258876,201889,412798,644189,1273527,645912,379946,56772,154459
Ohio2005,2005,Ohio,242.1059352,Mathematics,4,1778784,19746239,1413888,8313858,10018493,19785561,9700668,6526386,830761,2046199
Connecticut2005,2005,Connecticut,242.1207324,Mathematics,4,552512,7898694,401558,2886076,4611060,7452057,4177845,2200133,277388,496778
Maine2015,2015,Maine,242.2446541,Mathematics,4,176176,2739589,183883,1060925,1494781,2596180,1406898,910381,109541,55686
Washington2009,2009,Washington,242.2570912,Mathematics,4,1035907,12025012,1385421,7146416,3493175,12240632,5984072,3464921,509407,1818982
Texas2007,2007,Texas,242.3397599,Mathematics,4,4513835,44355326,4423644,15952564,23979118,45920825,21061312,12451077,2073350,6654163
Maine2007,2007,Maine,242.370604,Mathematics,4,193539,2538161,198101,1081891,1258169,2501127,1459635,710785,111153,91361
Connecticut2011,2011,Connecticut,242.4134069,Mathematics,4,530132,9783168,796156,3185501,5801511,9439182,5363942,2844490,333756,516116
Utah2011,2011,Utah,242.5375131,Mathematics,4,545395,4141253,500782,2058112,1582359,4195916,2157337,1018548,315664,592949
Washington2007,2007,Washington,242.542232,Mathematics,4,1026121,10350748,801339,6339782,3209627,10682397,5148806,3028183,463389,1624443
New York2007,2007,New York,242.5430182,Mathematics,4,2754976,50762544,3269310,22845772,24647462,51253984,31465706,12638159,1318628,4216048
Utah2015,2015,Utah,242.5627871,Mathematics,4,573913,4705084,400213,2487937,1816934,4537962,2367650,1166728,271400,606254
Iowa2009,2009,Iowa,242.595644,Mathematics,4,487559,5732319,431142,2545353,2755824,5732186,2914176,1615189,225983,672339
Iowa2011,2011,Iowa,242.6048729,Mathematics,4,493493,6098470,596688,2537754,2964028,6057294,2995991,1638449,230237,861361
Indiana2009,2009,Indiana,242.6168096,Mathematics,4,1028259,12999357,1403839,5804809,5790709,11218398,5548292,3681825,476598,899628
Florida2015,2015,Florida,242.6643209,Mathematics,4,2743641,26971491,3118041,10661586,13191864,27277049,14931173,8186082,1816178,1681665
North Dakota2005,2005,North Dakota,242.7369951,Mathematics,4,100413,969520,148482,341066,479972,985502,501563,258404,64839,88341
Connecticut2007,2007,Connecticut,242.7556468,Mathematics,4,549230,8913149,386553,3299175,5227421,8685421,4610572,2503468,311943,913165
Iowa2007,2007,Iowa,242.8195893,Mathematics,4,483122,5194536,390585,2279228,2524723,5198975,2557629,1480218,221002,647628
Utah2013,2013,Utah,242.8206887,Mathematics,4,562315,4300793,409774,2235917,1655102,4584624,2361179,1097484,309365,698249
Wyoming2005,2005,Wyoming,242.9559138,Mathematics,4,84146,1132160,106484,585789,439887,1033603,510498,324752,29657,158464
Virginia2009,2009,Virginia,243.0712969,Mathematics,4,1235064,15251481,914507,6317714,8019260,15510318,8194237,4813706,574858,1418914
Delaware2013,2013,Delaware,243.1077582,Mathematics,4,118685,1930466,151096,1124112,655258,1924626,1030897,560882,97722,157935
New Hampshire2003,2003,New Hampshire,243.1101422,Mathematics,4,203702,2028602,101294,957471,969837,2122604,1119824,570036,60830,214807
Colorado2009,2009,Colorado,243.13244,Mathematics,4,812068,8310673,560538,3634018,4116117,8682489,4108304,2708535,330128,1035058
Nebraska2013,2013,Nebraska,243.1579291,Mathematics,4,303242,3870164,366241,1217306,2286617,3913038,2318463,1026626,168033,298231
Washington2011,2011,Washington,243.1828847,Mathematics,4,1042979,11905941,1367629,6758505,3779807,11928408,6007184,3427282,514227,1467334
Vermont2015,2015,Vermont,243.2503992,Mathematics,4,85184,1996795,105333,1546600,344862,1969415,983532,566649,61871,58856
Hawaii2013,2013,Hawaii,243.3086189,Mathematics,4,184760,2331770,310778,1962923,58069,2345917,1283872,770643,144746,146656
Wisconsin2015,2015,Wisconsin,243.3102113,Mathematics,4,861813,11637376,814385,5869265,4953726,11553677,5723474,3691809,513402,894823
Pennsylvania2015,2015,Pennsylvania,243.3122399,Mathematics,4,1589429,29967185,1857885,10532452,17576848,29690645,16058338,8196747,1050310,1663209
Iowa2015,2015,Iowa,243.3399119,Mathematics,4,505311,6714410,458457,3460798,2795155,6772654,3383909,1912222,262267,842674
Connecticut2013,2013,Connecticut,243.4402974,Mathematics,4,517812,10319361,434543,3870444,6014374,9758850,5562212,2966636,359881,487318
Virginia2007,2007,Virginia,243.5211298,Mathematics,4,1220440,14176385,890144,5796043,7490198,14700853,7630837,4338027,573603,1473546
Vermont2005,2005,Vermont,243.5288554,Mathematics,4,92819,1628681,95016,1090494,443171,1634534,739981,392627,36577,63280
Wisconsin2009,2009,Wisconsin,243.5852535,Mathematics,4,867035,10991081,1258519,4785070,4947492,10880480,5857285,3382519,473295,648807
Pennsylvania2009,2009,Pennsylvania,243.5878732,Mathematics,4,1687145,26755585,1811141,9858461,15085983,27328680,12803821,7637090,1155635,2411908
Ohio2015,2015,Ohio,243.5985912,Mathematics,4,1600222,24378660,1676820,10169760,12532080,22561728,11620080,7324444,922732,1750785
Montana2007,2007,Montana,243.6188113,Mathematics,4,144258,1474306,190631,702476,581199,1442434,793711,463422,58824,100592
Ohio2009,2009,Ohio,243.6875529,Mathematics,4,1729072,22779344,1531263,10226228,11021853,22427481,10734314,7347959,929409,2552105
Montana2013,2013,Montana,243.6988846,Mathematics,4,142797,1671053,210593,788329,672131,1679521,907018,545326,74629,111496
North Carolina2015,2015,North Carolina,243.7422668,Mathematics,4,1465031,13146934,1589570,8172685,3384679,14060699,7960222,4082387,746694,698847
North Carolina2009,2009,North Carolina,243.7784601,Mathematics,4,1452064,15410564,1377661,8229140,5803763,14868070,7943541,3848021,751609,1647148
Maryland2009,2009,Maryland,243.795041,Mathematics,4,843781,13147931,694846,5697257,6755828,12757599,6899346,3984072,490336,961161
Montana2011,2011,Montana,243.7966065,Mathematics,4,141529,1631810,264517,713642,653651,1655584,902615,540180,72488,103728
Indiana2011,2011,Indiana,243.836876,Mathematics,4,1023220,12125155,1024389,7340384,3760382,11113533,5609296,3548729,500684,843671
Nebraska2015,2015,Nebraska,243.8636669,Mathematics,4,312281,4248695,344382,1350116,2554197,4283846,2446701,1102622,183067,449287
Wyoming2007,2007,Wyoming,243.8669151,Mathematics,4,85034,1477891,111051,722364,644476,1390344,661713,428613,42353,246698
Wyoming2011,2011,Wyoming,243.874435,Mathematics,4,88165,1650621,154955,878979,616687,1656850,825783,528352,52046,234408
New Jersey2005,2005,New Jersey,243.9789314,Mathematics,4,1368959,23026334,937945,9340953,12747436,23023365,11575456,7408034,817943,2179605
Pennsylvania2007,2007,Pennsylvania,244.0012735,Mathematics,4,1760451,25334577,1821479,8593421,14919677,25627083,11994620,7333616,1022492,2533079
Texas2015,2015,Texas,244.002472,Mathematics,4,5004866,55582029,5830972,20967429,28783628,56255791,26745844,15145619,2783770,6765205
Pennsylvania2013,2013,Pennsylvania,244.01262,Mathematics,4,1623694,28484645,2049113,9764558,16670974,28495118,15456205,7737010,1178563,1501024
Ohio2011,2011,Ohio,244.0386216,Mathematics,4,1655534,23488657,2533882,9834235,11120540,23010396,11074360,7570565,935953,2494681
Wisconsin2007,2007,Wisconsin,244.1812142,Mathematics,4,870584,10154985,574090,5175386,4405509,9988878,5459295,3147269,420699,467948
Maine2011,2011,Maine,244.2570165,Mathematics,4,186835,2654366,289290,1043281,1321795,2728535,1431522,874220,145034,164850
