,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
93,2003,Louisiana,226.2477291,Mathematics,4,723252,5478321,739078,5515322,3009591,4.161192779280251
94,1996,Michigan,226.2580564,Mathematics,4,1631131,13012080,648922,13071893,6452165,3.9556387561759294
95,1996,Utah,226.5158412,Mathematics,4,474907,2035726,134703,2150719,1132806,2.385321757733619
96,2000,New York,226.5590607,Mathematics,4,2861478,31906526,1938590,33683043,19856637,6.939293959275592
97,1992,Massachusetts,226.5979178,Mathematics,4,0,5517659,273946,5245560,2751871,5.713752923891132
98,2000,Oregon,226.6294911,Mathematics,4,542739,4369400,268568,4398318,2288931,4.217369674926622
99,2005,Mississippi,226.6988447,Mathematics,4,494382,3639643,552628,3610904,1935459,3.914905882495722
100,1992,Connecticut,226.79848,Mathematics,4,0,3834302,143542,3721338,2148041,5.713752923891132
101,2003,Hawaii,226.8346102,Mathematics,4,183829,2078877,170377,1602392,888473,4.833149285477265
102,2000,Idaho,226.8937845,Mathematics,4,245226,1452222,109898,1467977,798629,3.256706058900769
103,1992,New Jersey,227.148047,Mathematics,4,0,10814689,416063,10452340,6042936,5.713752923891132
104,1996,New Jersey,227.2401672,Mathematics,4,1193928,12389781,408872,12469216,6636622,5.558645077425104
105,2009,Mississippi,227.2622608,Mathematics,4,491194,4392101,675576,4552756,2317710,4.718522620390314
106,2000,Utah,227.2926732,Mathematics,4,477835,2546642,189502,2478420,1355794,2.8373685477204473
107,2003,California,227.4549818,Mathematics,4,6226552,59815855,5795655,59749885,29561563,4.7476617877759635
108,2003,Nevada,227.5135983,Mathematics,4,369498,2778564,191839,3009028,1406660,3.806948887409404
109,1996,Montana,227.5162361,Mathematics,4,165390,944623,90354,924259,538091,3.2534675615212527
110,1996,Nebraska,227.5439927,Mathematics,4,289251,1909834,100886,1940808,1067391,3.6901894894053955
111,2007,Mississippi,227.6123771,Mathematics,4,494135,4220926,712846,4158733,2160396,4.372076456838718
112,2003,Tennessee,227.7550447,Mathematics,4,905050,5994756,608447,6482671,3621601,4.001547980774543
113,2009,Alabama,227.9626504,Mathematics,4,745668,7186390,728795,7815467,3836398,5.144914358669006
114,2007,New Mexico,228.0643128,Mathematics,4,327816,3272953,444466,3279467,1610295,4.91219159528516
115,1992,Minnesota,228.4935963,Mathematics,4,0,4684684,194092,4981125,2534882,5.713752923891132
116,2007,Alabama,228.520018,Mathematics,4,743273,7069040,689072,7196459,3653466,4.915375642597
117,2000,Missouri,228.5528138,Mathematics,4,913517,6675260,437898,6708608,3459281,3.7867724410164234
118,2013,District of Columbia,228.5672539,Mathematics,4,44179,1300036,129874,1308438,559940,12.674347540686751
119,1992,North Dakota,228.6628153,Mathematics,4,0,559481,51476,553732,315009,5.713752923891132
120,1992,Wisconsin,228.6920011,Mathematics,4,0,4993909,217723,5181471,2914442,5.713752923891132
121,1996,Texas,228.7129198,Mathematics,4,3740260,22241369,1613462,22401797,11427564,3.055285996160695
122,2003,Kentucky,228.7263433,Mathematics,4,660782,4872025,503734,4700494,2688476,4.068627777391031
123,2003,Arizona,228.9113961,Mathematics,4,875111,6529894,740579,6210287,2810907,3.2120576703983836
124,1996,Massachusetts,228.9664026,Mathematics,4,912330,7129757,302167,7479576,4171772,4.572656823737025
125,2003,Arkansas,229.0065887,Mathematics,4,450158,3241275,379947,3242799,1768713,3.929093784848875
126,2003,Oklahoma,229.0966213,Mathematics,4,624202,4426835,563974,4376502,2158574,3.458133745165828
127,1996,Iowa,229.1261984,Mathematics,4,502343,3258040,147878,3284185,1679091,3.342518956171381
128,2000,Wyoming,229.2519227,Mathematics,4,91883,787323,66085,769923,417424,4.542994895682553
129,1996,Indiana,229.3944436,Mathematics,4,975455,6422662,306715,6644035,3293900,3.3767831422259356
130,2009,Louisiana,229.4324555,Mathematics,4,662774,7984550,1238259,8053960,4051985,6.113675249783486
131,1992,New Hampshire,229.6645638,Mathematics,4,0,1063391,31020,1066647,581123,5.713752923891132
132,2005,Arizona,229.8006731,Mathematics,4,919875,7550109,897553,7136794,3423716,3.7219361326267157
133,2000,Montana,229.8120048,Mathematics,4,157381,1104935,130928,1051768,613132,3.8958451147215993
134,2011,Mississippi,229.8680222,Mathematics,4,490526,4516742,1006465,4345783,2238165,4.562785662737551
135,2005,Nevada,229.8715955,Mathematics,4,399727,3381646,251421,3483540,1665706,4.167109051927941
136,1992,Iowa,229.8840779,Mathematics,4,0,2663934,125665,2795774,1446478,5.713752923891132
137,2009,Arizona,229.9911052,Mathematics,4,981303,8802515,1044140,9580393,4296503,4.378365295938155
138,2009,New Mexico,230.0295892,Mathematics,4,328737,3703477,519973,3945515,1807514,5.498358870464839
139,2007,California,230.0340912,Mathematics,4,6288686,72516936,7200298,73225422,34685013,5.515462689662037
140,2007,Louisiana,230.0431193,Mathematics,4,662302,7048732,1234006,6657341,3430268,5.179310948781674
141,2005,Hawaii,230.0968754,Mathematics,4,183185,2274166,236973,1765805,1007207,5.498304992220978
142,2005,Louisiana,230.2311964,Mathematics,4,717625,5975074,844640,5941561,3264689,4.5492966382163385
143,2003,Georgia,230.2549768,Mathematics,4,1495819,13524807,1051973,13516783,7352918,4.9156468797361175
144,2003,Rhode Island,230.297962,Mathematics,4,157286,1728055,109011,1646238,971700,6.177917932937452
145,2005,California,230.3669575,Mathematics,4,6307022,62171797,7148863,66196072,31070450,4.926326561093334
146,2000,Virginia,230.3948089,Mathematics,4,1132673,8911426,491873,9154676,4823780,4.258757823308228
147,2000,Maine,230.568646,Mathematics,4,209012,1792390,104497,1842276,1053067,5.038308805236063
148,2000,Ohio,230.5742166,Mathematics,4,1822566,15327834,843432,14909952,7497388,4.1136441698133295
149,2003,West Virginia,230.7677485,Mathematics,4,281591,2497707,267470,2524444,1420396,5.044181099537982
150,2011,Louisiana,230.7788693,Mathematics,4,665109,8022917,1497262,8218870,4162557,6.258458388023617
151,2005,West Virginia,230.8432679,Mathematics,4,279456,2701056,329159,2698703,1524187,5.454121579067904
152,2000,Michigan,230.8869725,Mathematics,4,1700074,15939477,1030238,16580526,7709336,4.534706136321125
153,2000,North Dakota,230.8929578,Mathematics,4,112349,812982,96940,802768,402602,3.583494290113842
154,1996,North Dakota,230.9041832,Mathematics,4,119102,655971,69370,657809,338326,2.840640795284714
155,2015,Alabama,230.9774227,Mathematics,4,734974,7360222,795238,7501799,3817479,5.194032714082403
156,2013,Mississippi,231.1057214,Mathematics,4,492847,4444064,707522,4370050,2274357,4.614732361158737
157,2015,New Mexico,231.167236,Mathematics,4,326297,3789651,499789,3846641,1773801,5.43615479149364
158,2011,Alabama,231.286019,Mathematics,4,746933,7376725,1077070,7411768,3844055,5.146452225299994
159,2015,District of Columbia,231.3075251,Mathematics,4,46155,1382282,146366,1360942,557345,12.075506445672191
160,2013,Louisiana,231.3663086,Mathematics,4,671156,8121179,1229248,7940880,3963343,5.905248556222398
161,1996,Wisconsin,231.4118515,Mathematics,4,869930,6342623,270455,6521058,3567663,4.101092041888428
162,2005,Kentucky,231.4923054,Mathematics,4,674502,5444309,646215,5750671,2864633,4.247034108127181
163,2015,California,231.549345,Mathematics,4,6226523,78248042,7556365,78365958,38951948,6.25581050612035
164,1992,Maine,231.6388399,Mathematics,4,0,1206819,73160,1228869,685350,5.713752923891132
165,2009,California,231.6749272,Mathematics,4,6234155,73958896,9745250,74766086,35617964,5.713358747095637
166,2005,Tennessee,231.6880797,Mathematics,4,940769,6806262,787269,7067521,4120045,4.379443837966599
167,2000,Vermont,231.6977364,Mathematics,4,99609,1211370,65052,1193813,555740,5.5792147295927075
168,2007,Nevada,231.7816005,Mathematics,4,422782,4006081,277849,4346371,2047045,4.8418452062765205
169,2009,Tennessee,231.8254862,Mathematics,4,971484,8112895,870374,8611178,4809809,4.950991472839491
170,2007,Arizona,231.9369335,Mathematics,4,969875,8724434,953861,8709531,3977800,4.101353267173605
171,2000,Kansas,231.9534346,Mathematics,4,469377,3518271,221530,3327090,1661540,3.5398837182051954
172,1996,Connecticut,232.0265739,Mathematics,4,499815,4686025,162218,4538234,2701637,5.405273951362004
173,1996,Minnesota,232.1930884,Mathematics,4,827418,6101416,241241,6423285,3204906,3.8733820148945273
174,1996,Maine,232.2070445,Mathematics,4,213601,1485138,78626,1465093,857253,4.013337952537675
175,2000,North Carolina,232.4630648,Mathematics,4,1261586,9064700,622184,9275837,4854623,3.8480317631933136
176,2000,Texas,232.6660297,Mathematics,4,3965971,28918934,2406972,31067935,15018072,3.786732681605589
177,2007,Tennessee,232.7537101,Mathematics,4,978084,7617488,805633,7817659,4473035,4.573262623660136
178,2013,New Mexico,232.7814329,Mathematics,4,327209,3518621,519318,3536546,1709797,5.225397223181514
179,2011,New Mexico,232.8403707,Mathematics,4,331373,3591330,636436,3694437,1744548,5.264605142845072
180,2003,Illinois,232.8567753,Mathematics,4,2062664,19627346,1618724,21278177,10409933,5.0468389422610755
181,2013,Alabama,232.8613325,Mathematics,4,744548,7197439,811739,7487741,3747993,5.033917222261023
182,2000,Iowa,232.8969349,Mathematics,4,497301,3822452,217060,3974813,1906755,3.8342070496540326
183,2011,Tennessee,232.901117,Mathematics,4,986382,8679893,1272825,8961443,4947165,5.015465610686326
184,2009,West Virginia,232.9831445,Mathematics,4,281908,3097212,355325,3121728,1759397,6.241032535437093
