,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
552,2003,California,267.0495006,Mathematics,8,6226552,59815855,5795655,59749885,29561563,4.7476617877759635
553,1992,Michigan,267.3531943,Mathematics,8,0,9963137,537917,10170688,4681327,5.713752923891132
554,2007,New Mexico,267.5380787,Mathematics,8,327816,3272953,444466,3279467,1610295,4.91219159528516
555,2005,Louisiana,267.7550308,Mathematics,8,717625,5975074,844640,5941561,3264689,4.5492966382163385
556,1996,North Carolina,267.8345603,Mathematics,8,1181600,6516400,443121,6517111,3527936,2.985727826675694
557,1992,Virginia,267.8637263,Mathematics,8,0,5631293,313971,5744469,2982862,5.713752923891132
558,1996,Arizona,267.8748343,Mathematics,8,764681,4143304,378917,4391555,1860007,2.432395992577297
559,2003,Nevada,268.0431377,Mathematics,8,369498,2778564,191839,3009028,1406660,3.806948887409404
560,1992,Ohio,268.1241978,Mathematics,8,0,9285961,472604,9483822,5172782,5.713752923891132
561,1992,Oklahoma,268.1319896,Mathematics,8,0,2396705,211627,2515272,1283577,5.713752923891132
562,2003,Tennessee,268.1757286,Mathematics,8,905050,5994756,608447,6482671,3621601,4.001547980774543
563,2000,Nevada,268.1815991,Mathematics,8,325610,2252416,110210,2437438,1114489,3.422772642117871
564,2015,Louisiana,268.4323551,Mathematics,8,661015,8448743,1235580,8437263,4100906,6.203953011656316
565,2009,Alabama,268.5241203,Mathematics,8,745668,7186390,728795,7815467,3836398,5.144914358669006
566,2005,California,268.5581286,Mathematics,8,6307022,62171797,7148863,66196072,31070450,4.926326561093334
567,2007,Hawaii,268.7720134,Mathematics,8,180728,2985593,256696,2199604,1177781,6.516870656456111
568,1996,Rhode Island,268.8773081,Mathematics,8,148977,1135192,57826,1092459,699778,4.697221718788806
569,2011,Alabama,269.0965158,Mathematics,8,746933,7376725,1077070,7411768,3844055,5.146452225299994
570,2005,West Virginia,269.0994928,Mathematics,8,279456,2701056,329159,2698703,1524187,5.454121579067904
571,2013,Alabama,269.1942806,Mathematics,8,744548,7197439,811739,7487741,3747993,5.033917222261023
572,2011,Mississippi,269.2356456,Mathematics,8,490526,4516742,1006465,4345783,2238165,4.562785662737551
573,2003,Georgia,269.6770092,Mathematics,8,1495819,13524807,1051973,13516783,7352918,4.9156468797361175
574,1996,Maryland,269.6814314,Mathematics,8,805544,5688918,271806,5825606,3197895,3.969857636578511
575,2009,New Mexico,269.7042538,Mathematics,8,328737,3703477,519973,3945515,1807514,5.498358870464839
576,1996,Virginia,269.7544047,Mathematics,8,1079854,6674519,361726,6903384,3601237,3.3349295367707117
577,2005,Nevada,269.9055855,Mathematics,8,399727,3381646,251421,3483540,1665706,4.167109051927941
578,2007,West Virginia,270.0840936,Mathematics,8,281298,2905489,353571,2983267,1608247,5.717235813976637
579,1992,Indiana,270.0989439,Mathematics,8,0,5060274,257044,5182754,2598925,5.713752923891132
580,1996,Texas,270.1995776,Mathematics,8,3740260,22241369,1613462,22401797,11427564,3.055285996160695
581,1996,New York,270.231486,Mathematics,8,2788343,26026366,1510447,26974514,15973623,5.72871522621141
582,2007,California,270.381784,Mathematics,8,6288686,72516936,7200298,73225422,34685013,5.515462689662037
583,2009,West Virginia,270.4157659,Mathematics,8,281908,3097212,355325,3121728,1759397,6.241032535437093
584,2009,California,270.4485881,Mathematics,8,6234155,73958896,9745250,74766086,35617964,5.713358747095637
585,2005,Tennessee,270.5245768,Mathematics,8,940769,6806262,787269,7067521,4120045,4.379443837966599
586,2015,Mississippi,270.5804793,Mathematics,8,490189,4592343,672366,4624539,2350872,4.795848132047027
587,2000,Arizona,270.7154059,Mathematics,8,814807,5479168,534619,5397194,2488932,3.05462766029256
588,2003,West Virginia,270.7703534,Mathematics,8,281591,2497707,267470,2524444,1420396,5.044181099537982
589,2000,West Virginia,270.7800763,Mathematics,8,290982,2243151,210082,2243563,1271988,4.3713631771037385
590,2007,Nevada,270.8040244,Mathematics,8,422782,4006081,277849,4346371,2047045,4.8418452062765205
591,2015,New Mexico,270.8975344,Mathematics,8,326297,3789651,499789,3846641,1773801,5.43615479149364
592,1992,Missouri,271.1315447,Mathematics,8,0,4043682,255194,4197600,2168135,5.713752923891132
593,2013,Mississippi,271.1609673,Mathematics,8,492847,4444064,707522,4370050,2274357,4.614732361158737
594,2003,Arizona,271.1773505,Mathematics,8,875111,6529894,740579,6210287,2810907,3.2120576703983836
595,2005,Oklahoma,271.3599024,Mathematics,8,629145,4892548,678448,4785987,2303527,3.661361053493233
596,2003,Florida,271.3714902,Mathematics,8,2536699,19549835,1956803,20180142,9622598,3.7933542765617836
597,1992,Pennsylvania,271.3784388,Mathematics,8,0,11257252,658139,11539253,6075381,5.713752923891132
598,2015,West Virginia,271.4507088,Mathematics,8,279565,3478401,362959,3466981,1819903,6.509766959383327
599,2000,Kentucky,271.5615114,Mathematics,8,646467,4330089,426956,4510972,2345581,3.6283074000683717
600,2005,Arkansas,271.6363484,Mathematics,8,461667,3978240,447012,3999608,2118580,4.588978636116508
601,2000,Oklahoma,271.6457939,Mathematics,8,627032,3906833,377776,3876871,1928222,3.0751572487528547
602,2003,Oklahoma,271.9051513,Mathematics,8,624202,4426835,563974,4376502,2158574,3.458133745165828
603,1992,New Jersey,271.9055612,Mathematics,8,0,10814689,416063,10452340,6042936,5.713752923891132
604,2003,Rhode Island,271.9986944,Mathematics,8,157286,1728055,109011,1646238,971700,6.177917932937452
605,2005,Georgia,272.1915644,Mathematics,8,1552758,14724731,1375318,14492666,7886069,5.078749554019364
606,2005,Rhode Island,272.3450181,Mathematics,8,153596,1903472,145957,1790591,1023496,6.663558946847574
607,2009,Louisiana,272.3799067,Mathematics,8,662774,7984550,1238259,8053960,4051985,6.113675249783486
608,2007,Louisiana,272.3862996,Mathematics,8,662302,7048732,1234006,6657341,3430268,5.179310948781674
609,1992,Colorado,272.3984329,Mathematics,8,0,3185173,163253,3264826,1642466,5.713752923891132
